generation,fitness,distribution
41,"[0, 2, 2, 2, 2]","[0, 0.9105046981333672, 0.759575710925773, 0.17456175942136354, 0.8150289031064892, 0.9145932974224431, 1, 0.6836881877236051, 0.44725814151890386, 0, 0.7533979009907212, 0, 0.05902672820864319, 0.8629138844543025, 0.33560741498847046, 0, 0, 0.12956555396915448, 1, 0.562850139746569, 1, 0, 0, 0.9043481918377138, 0.7032767345033012, 0.9858071343294397]"
42,"[0, 2, 2, 2, 1]","[0.34290768242581804, 0.5405252163700863, 0.7632426048148441, 0.28188655633626336, 1, 1, 1, 0, 0.4701233422497497, 1, 1, 0, 0.013536807637532733, 0.49773360049935134, 0.6841840673973918, 0.9607017709354093, 0.5000499097884878, 0.3744742372760448, 0.4439494124436896, 0.4149459730586932, 0.6034110557982297, 0.22112469767059328, 0, 0.5367355740014979, 1, 1]"
43,"[2, 2, 2, 0, 0]","[0.283085335904391, 1, 0, 0.40340940277530557, 0.9862186203888407, 0.3217370822321418, 0.3757659350831182, 1, 0.30315073915308766, 0.8750681762425387, 0.9028824805214967, 0.08966997017018308, 0.6605930294766362, 0.937578291141081, 0.5362974737542132, 0, 0, 0.3031172717457855, 1, 0.562850139746569, 0.8037629855868362, 0, 0.03428038360751895, 0.3357277762538674, 0.7032767345033012, 1]"
44,"[1, 2, 2, 0, 2]","[0.283085335904391, 1, 0, 0.40340940277530557, 0.9862186203888407, 0.3217370822321418, 0.3757659350831182, 1, 0.30315073915308766, 0.8750681762425387, 0.9028824805214967, 0.08966997017018308, 0.6605930294766362, 0.937578291141081, 0.5362974737542132, 0, 0, 0.3031172717457855, 1, 0.562850139746569, 0.8037629855868362, 0, 0.03428038360751895, 0.3357277762538674, 0.7032767345033012, 1]"
45,"[0, 1, 0, 2, 2]","[0.283085335904391, 0.9751720044965536, 0, 0.2839337628833508, 0.8513548566218151, 0.805796973040125, 0.6817872083316754, 0.6133510794639977, 0, 1, 1, 0, 0, 0.2630443245162307, 0.7536237040116844, 0.5218319445354923, 1, 0.6427447637114111, 0, 0.9228334407818778, 0.40422032049749423, 1, 0.03428038360751895, 0.4455324830449955, 1, 1]"
46,"[2, 2, 2, 0, 0]","[0.283085335904391, 0.5317639151841981, 0.18633164319482054, 0.2839337628833508, 0.31382036172647787, 0.805796973040125, 0.6817872083316754, 0.6133510794639977, 0, 1, 1, 0.4739944234232153, 0, 0.2630443245162307, 0.7536237040116844, 0.6029401354641528, 1, 0.6427447637114111, 0, 0.9228334407818778, 0.40422032049749423, 1, 0.03428038360751895, 0.4455324830449955, 0.23733482356040314, 0.8361389471985078]"
47,"[2, 1, 2, 2, 2]","[0.283085335904391, 0.5862937797946245, 0.2411710158654118, 0, 0.9862186203888407, 0.3217370822321418, 0.6599194300260284, 1, 0, 0.6055533062069519, 0.9134429676985918, 0.8210064293921864, 0.4929650475450513, 0.012180790494475957, 0.49193909301635685, 0.24285647605624994, 0.9856728069327397, 0.6427447637114111, 0.5788199223287663, 0.9228334407818778, 0, 0.8393743051056014, 0.6990174756495834, 0.4455324830449955, 0.46106063417478194, 1]"
48,"[2, 2, 0, 2, 2]","[0.461636124420604, 1, 0.4924249783047695, 0.495804680128877, 1, 0.5464127123871948, 0.3560752514512501, 0, 0.34650716488492384, 0.5704067598718353, 0.5180138925685716, 0.5069503317937539, 0.03390291716588567, 0.26335021904773936, 0.6473138866756226, 0.6403931724717815, 0.794845904893869, 0.4958044880117872, 0.6109908500050222, 0.4893975340315889, 0.5312486940235132, 0, 0.39721805871087, 0.4455324830449955, 0.4579208812303147, 0.9354796062908403]"
49,"[1, 2, 2, 0, 2]","[0.5704743667631128, 0, 0, 0.570356311431675, 1, 1, 1, 0.29106278743211755, 0.1623146078340274, 1, 0.6887192008251533, 1, 0.20544556474870623, 0.26335021904773936, 0.6473138866756226, 0.6403931724717815, 0.794845904893869, 0.4958044880117872, 0.3651191670541407, 0.3530833681382618, 0, 0.8393743051056014, 0, 0.4106046551435415, 0.23733482356040314, 1]"
50,"[0, 2, 2, 1, 2]","[0.3513175369030107, 0.7666306031688035, 1, 0, 0.9862186203888407, 0.3217370822321418, 0.6599194300260284, 1, 0, 0.7041273904409827, 0.9134429676985918, 0.8210064293921864, 0.4171240439406759, 0.11499836487438408, 0.7307067169844913, 0, 0.9856728069327397, 0.6427447637114111, 0.5788199223287663, 0.9521840146457341, 0.0052553923633470445, 0.5125704810014539, 0.7341759958886069, 0.35008359789412247, 0.23733482356040314, 0.8118814409903611]"
